raw_string,canonical_name,normalized,source,confidence
B.Tech. (Civil Engineering),Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
"B.Tech., Civil Engineering",Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
B.Tech. / Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
BTECH - Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
BTECH in Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
BTECH (Civil Engineering),Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
"BTECH, Civil Engineering",Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
BTECH / Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
B.Tech (Hons) - Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
B.Tech (Hons) in Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
B.Tech (Hons) (Civil Engineering),Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
"B.Tech (Hons), Civil Engineering",Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
B.Tech (Hons) / Civil Engineering,Bachelor of Engineering,btech civil engineering,generated_permutation,1.0
4-Year B.Tech - Civil Engineering,Bachelor of Engineering,4year btech civil engineering,generated_permutation,1.0
4-Year B.Tech in Civil Engineering,Bachelor of Engineering,4year btech civil engineering,generated_permutation,1.0
4-Year B.Tech (Civil Engineering),Bachelor of Engineering,4year btech civil engineering,generated_permutation,1.0
"4-Year B.Tech, Civil Engineering",Bachelor of Engineering,4year btech civil engineering,generated_permutation,1.0
4-Year B.Tech / Civil Engineering,Bachelor of Engineering,4year btech civil engineering,generated_permutation,1.0
B.Tech/BE - Civil Engineering,Bachelor of Engineering,btechbe civil engineering,generated_permutation,1.0
B.Tech/BE in Civil Engineering,Bachelor of Engineering,btechbe civil engineering,generated_permutation,1.0
B.Tech/BE (Civil Engineering),Bachelor of Engineering,btechbe civil engineering,generated_permutation,1.0
"B.Tech/BE, Civil Engineering",Bachelor of Engineering,btechbe civil engineering,generated_permutation,1.0
B.Tech/BE / Civil Engineering,Bachelor of Engineering,btechbe civil engineering,generated_permutation,1.0
Bacheler of Technology - Civil Engineering,Bachelor of Engineering,bacheler of technology civil engineering,generated_permutation,1.0
Bacheler of Technology in Civil Engineering,Bachelor of Engineering,bacheler of technology civil engineering,generated_permutation,1.0
Bacheler of Technology (Civil Engineering),Bachelor of Engineering,bacheler of technology civil engineering,generated_permutation,1.0
"Bacheler of Technology, Civil Engineering",Bachelor of Engineering,bacheler of technology civil engineering,generated_permutation,1.0
Bacheler of Technology / Civil Engineering,Bachelor of Engineering,bacheler of technology civil engineering,generated_permutation,1.0
Master of Technology - Civil Engineering,Master of Technology,master of technology civil engineering,generated_permutation,1.0
Master of Technology in Civil Engineering,Master of Technology,master of technology civil engineering,generated_permutation,1.0
Master of Technology (Civil Engineering),Master of Technology,master of technology civil engineering,generated_permutation,1.0
"Master of Technology, Civil Engineering",Master of Technology,master of technology civil engineering,generated_permutation,1.0
Master of Technology / Civil Engineering,Master of Technology,master of technology civil engineering,generated_permutation,1.0
MTech - Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
MTech in Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
MTech (Civil Engineering),Master of Technology,mtech civil engineering,generated_permutation,1.0
"MTech, Civil Engineering",Master of Technology,mtech civil engineering,generated_permutation,1.0
MTech / Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
M.Tech - Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
M.Tech in Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
M.Tech (Civil Engineering),Master of Technology,mtech civil engineering,generated_permutation,1.0
"M.Tech, Civil Engineering",Master of Technology,mtech civil engineering,generated_permutation,1.0
M.Tech / Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
M. Tech - Civil Engineering,Master of Technology,m tech civil engineering,generated_permutation,1.0
M. Tech in Civil Engineering,Master of Technology,m tech civil engineering,generated_permutation,1.0
M. Tech (Civil Engineering),Master of Technology,m tech civil engineering,generated_permutation,1.0
"M. Tech, Civil Engineering",Master of Technology,m tech civil engineering,generated_permutation,1.0
M. Tech / Civil Engineering,Master of Technology,m tech civil engineering,generated_permutation,1.0
MTECH - Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
MTECH in Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
MTECH (Civil Engineering),Master of Technology,mtech civil engineering,generated_permutation,1.0
"MTECH, Civil Engineering",Master of Technology,mtech civil engineering,generated_permutation,1.0
MTECH / Civil Engineering,Master of Technology,mtech civil engineering,generated_permutation,1.0
Master of Engineering - Civil Engineering,Master of Engineering,master of engineering civil engineering,generated_permutation,1.0
Master of Engineering in Civil Engineering,Master of Engineering,master of engineering civil engineering,generated_permutation,1.0
Master of Engineering (Civil Engineering),Master of Engineering,master of engineering civil engineering,generated_permutation,1.0
"Master of Engineering, Civil Engineering",Master of Engineering,master of engineering civil engineering,generated_permutation,1.0
Master of Engineering / Civil Engineering,Master of Engineering,master of engineering civil engineering,generated_permutation,1.0
MTech - Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
MTech in Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
MTech (Civil Engineering),Master of Engineering,mtech civil engineering,generated_permutation,1.0
"MTech, Civil Engineering",Master of Engineering,mtech civil engineering,generated_permutation,1.0
MTech / Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
M.Tech - Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
M.Tech in Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
M.Tech (Civil Engineering),Master of Engineering,mtech civil engineering,generated_permutation,1.0
"M.Tech, Civil Engineering",Master of Engineering,mtech civil engineering,generated_permutation,1.0
M.Tech / Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
M. Tech - Civil Engineering,Master of Engineering,m tech civil engineering,generated_permutation,1.0
M. Tech in Civil Engineering,Master of Engineering,m tech civil engineering,generated_permutation,1.0
M. Tech (Civil Engineering),Master of Engineering,m tech civil engineering,generated_permutation,1.0
"M. Tech, Civil Engineering",Master of Engineering,m tech civil engineering,generated_permutation,1.0
M. Tech / Civil Engineering,Master of Engineering,m tech civil engineering,generated_permutation,1.0
MTECH - Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
MTECH in Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
MTECH (Civil Engineering),Master of Engineering,mtech civil engineering,generated_permutation,1.0
"MTECH, Civil Engineering",Master of Engineering,mtech civil engineering,generated_permutation,1.0
MTECH / Civil Engineering,Master of Engineering,mtech civil engineering,generated_permutation,1.0
Diploma in Engineering - Civil Engineering,Diploma in Engineering,diploma engineering civil engineering,generated_permutation,1.0
Diploma in Engineering in Civil Engineering,Diploma in Engineering,diploma engineering civil engineering,generated_permutation,1.0
Diploma in Engineering (Civil Engineering),Diploma in Engineering,diploma engineering civil engineering,generated_permutation,1.0
"Diploma in Engineering, Civil Engineering",Diploma in Engineering,diploma engineering civil engineering,generated_permutation,1.0
Diploma in Engineering / Civil Engineering,Diploma in Engineering,diploma engineering civil engineering,generated_permutation,1.0
3 Year Diploma - Civil Engineering,Diploma in Engineering,3 year diploma civil engineering,generated_permutation,1.0
3 Year Diploma in Civil Engineering,Diploma in Engineering,3 year diploma civil engineering,generated_permutation,1.0
3 Year Diploma (Civil Engineering),Diploma in Engineering,3 year diploma civil engineering,generated_permutation,1.0
"3 Year Diploma, Civil Engineering",Diploma in Engineering,3 year diploma civil engineering,generated_permutation,1.0
3 Year Diploma / Civil Engineering,Diploma in Engineering,3 year diploma civil engineering,generated_permutation,1.0
Polytechnic - Civil Engineering,Diploma in Engineering,polytechnic civil engineering,generated_permutation,1.0
Polytechnic in Civil Engineering,Diploma in Engineering,polytechnic civil engineering,generated_permutation,1.0
Polytechnic (Civil Engineering),Diploma in Engineering,polytechnic civil engineering,generated_permutation,1.0
"Polytechnic, Civil Engineering",Diploma in Engineering,polytechnic civil engineering,generated_permutation,1.0
Polytechnic / Civil Engineering,Diploma in Engineering,polytechnic civil engineering,generated_permutation,1.0
Dip. Engg - Civil Engineering,Diploma in Engineering,dip engg civil engineering,generated_permutation,1.0
Dip. Engg in Civil Engineering,Diploma in Engineering,dip engg civil engineering,generated_permutation,1.0
Dip. Engg (Civil Engineering),Diploma in Engineering,dip engg civil engineering,generated_permutation,1.0
"Dip. Engg, Civil Engineering",Diploma in Engineering,dip engg civil engineering,generated_permutation,1.0
Dip. Engg / Civil Engineering,Diploma in Engineering,dip engg civil engineering,generated_permutation,1.0
Bachelor of Technology - Chemical Engineering,Bachelor of Technology,bachelor of technology chemical engineering,generated_permutation,1.0
Bachelor of Technology in Chemical Engineering,Bachelor of Technology,bachelor of technology chemical engineering,generated_permutation,1.0
Bachelor of Technology (Chemical Engineering),Bachelor of Technology,bachelor of technology chemical engineering,generated_permutation,1.0
"Bachelor of Technology, Chemical Engineering",Bachelor of Technology,bachelor of technology chemical engineering,generated_permutation,1.0
Bachelor of Technology / Chemical Engineering,Bachelor of Technology,bachelor of technology chemical engineering,generated_permutation,1.0
BTech - Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTech in Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTech (Chemical Engineering),Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
"BTech, Chemical Engineering",Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTech / Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech - Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech in Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech (Chemical Engineering),Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
"B.Tech, Chemical Engineering",Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech / Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B. Tech - Chemical Engineering,Bachelor of Technology,b tech chemical engineering,generated_permutation,1.0
B. Tech in Chemical Engineering,Bachelor of Technology,b tech chemical engineering,generated_permutation,1.0
B. Tech (Chemical Engineering),Bachelor of Technology,b tech chemical engineering,generated_permutation,1.0
"B. Tech, Chemical Engineering",Bachelor of Technology,b tech chemical engineering,generated_permutation,1.0
B. Tech / Chemical Engineering,Bachelor of Technology,b tech chemical engineering,generated_permutation,1.0
B.Tech. - Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech. in Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech. (Chemical Engineering),Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
"B.Tech., Chemical Engineering",Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech. / Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTECH - Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTECH in Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTECH (Chemical Engineering),Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
"BTECH, Chemical Engineering",Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
BTECH / Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) - Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) in Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) (Chemical Engineering),Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
"B.Tech (Hons), Chemical Engineering",Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) / Chemical Engineering,Bachelor of Technology,btech chemical engineering,generated_permutation,1.0
4-Year B.Tech - Chemical Engineering,Bachelor of Technology,4year btech chemical engineering,generated_permutation,1.0
4-Year B.Tech in Chemical Engineering,Bachelor of Technology,4year btech chemical engineering,generated_permutation,1.0
4-Year B.Tech (Chemical Engineering),Bachelor of Technology,4year btech chemical engineering,generated_permutation,1.0
"4-Year B.Tech, Chemical Engineering",Bachelor of Technology,4year btech chemical engineering,generated_permutation,1.0
4-Year B.Tech / Chemical Engineering,Bachelor of Technology,4year btech chemical engineering,generated_permutation,1.0
B.Tech/BE - Chemical Engineering,Bachelor of Technology,btechbe chemical engineering,generated_permutation,1.0
B.Tech/BE in Chemical Engineering,Bachelor of Technology,btechbe chemical engineering,generated_permutation,1.0
B.Tech/BE (Chemical Engineering),Bachelor of Technology,btechbe chemical engineering,generated_permutation,1.0
"B.Tech/BE, Chemical Engineering",Bachelor of Technology,btechbe chemical engineering,generated_permutation,1.0
B.Tech/BE / Chemical Engineering,Bachelor of Technology,btechbe chemical engineering,generated_permutation,1.0
Bacheler of Technology - Chemical Engineering,Bachelor of Technology,bacheler of technology chemical engineering,generated_permutation,1.0
Bacheler of Technology in Chemical Engineering,Bachelor of Technology,bacheler of technology chemical engineering,generated_permutation,1.0
Bacheler of Technology (Chemical Engineering),Bachelor of Technology,bacheler of technology chemical engineering,generated_permutation,1.0
"Bacheler of Technology, Chemical Engineering",Bachelor of Technology,bacheler of technology chemical engineering,generated_permutation,1.0
Bacheler of Technology / Chemical Engineering,Bachelor of Technology,bacheler of technology chemical engineering,generated_permutation,1.0
Bachelor of Engineering - Chemical Engineering,Bachelor of Engineering,bachelor of engineering chemical engineering,generated_permutation,1.0
Bachelor of Engineering in Chemical Engineering,Bachelor of Engineering,bachelor of engineering chemical engineering,generated_permutation,1.0
Bachelor of Engineering (Chemical Engineering),Bachelor of Engineering,bachelor of engineering chemical engineering,generated_permutation,1.0
"Bachelor of Engineering, Chemical Engineering",Bachelor of Engineering,bachelor of engineering chemical engineering,generated_permutation,1.0
Bachelor of Engineering / Chemical Engineering,Bachelor of Engineering,bachelor of engineering chemical engineering,generated_permutation,1.0
BTech - Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTech in Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTech (Chemical Engineering),Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
"BTech, Chemical Engineering",Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTech / Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech - Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech in Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech (Chemical Engineering),Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
"B.Tech, Chemical Engineering",Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech / Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B. Tech - Chemical Engineering,Bachelor of Engineering,b tech chemical engineering,generated_permutation,1.0
B. Tech in Chemical Engineering,Bachelor of Engineering,b tech chemical engineering,generated_permutation,1.0
B. Tech (Chemical Engineering),Bachelor of Engineering,b tech chemical engineering,generated_permutation,1.0
"B. Tech, Chemical Engineering",Bachelor of Engineering,b tech chemical engineering,generated_permutation,1.0
B. Tech / Chemical Engineering,Bachelor of Engineering,b tech chemical engineering,generated_permutation,1.0
B.Tech. - Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech. in Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech. (Chemical Engineering),Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
"B.Tech., Chemical Engineering",Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech. / Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTECH - Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTECH in Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTECH (Chemical Engineering),Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
"BTECH, Chemical Engineering",Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
BTECH / Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) - Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) in Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) (Chemical Engineering),Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
"B.Tech (Hons), Chemical Engineering",Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
B.Tech (Hons) / Chemical Engineering,Bachelor of Engineering,btech chemical engineering,generated_permutation,1.0
4-Year B.Tech - Chemical Engineering,Bachelor of Engineering,4year btech chemical engineering,generated_permutation,1.0
4-Year B.Tech in Chemical Engineering,Bachelor of Engineering,4year btech chemical engineering,generated_permutation,1.0
4-Year B.Tech (Chemical Engineering),Bachelor of Engineering,4year btech chemical engineering,generated_permutation,1.0
"4-Year B.Tech, Chemical Engineering",Bachelor of Engineering,4year btech chemical engineering,generated_permutation,1.0
4-Year B.Tech / Chemical Engineering,Bachelor of Engineering,4year btech chemical engineering,generated_permutation,1.0
B.Tech/BE - Chemical Engineering,Bachelor of Engineering,btechbe chemical engineering,generated_permutation,1.0
B.Tech/BE in Chemical Engineering,Bachelor of Engineering,btechbe chemical engineering,generated_permutation,1.0
B.Tech/BE (Chemical Engineering),Bachelor of Engineering,btechbe chemical engineering,generated_permutation,1.0
"B.Tech/BE, Chemical Engineering",Bachelor of Engineering,btechbe chemical engineering,generated_permutation,1.0
B.Tech/BE / Chemical Engineering,Bachelor of Engineering,btechbe chemical engineering,generated_permutation,1.0
Bacheler of Technology - Chemical Engineering,Bachelor of Engineering,bacheler of technology chemical engineering,generated_permutation,1.0
Bacheler of Technology in Chemical Engineering,Bachelor of Engineering,bacheler of technology chemical engineering,generated_permutation,1.0
Bacheler of Technology (Chemical Engineering),Bachelor of Engineering,bacheler of technology chemical engineering,generated_permutation,1.0
"Bacheler of Technology, Chemical Engineering",Bachelor of Engineering,bacheler of technology chemical engineering,generated_permutation,1.0
Bacheler of Technology / Chemical Engineering,Bachelor of Engineering,bacheler of technology chemical engineering,generated_permutation,1.0
Master of Technology - Chemical Engineering,Master of Technology,master of technology chemical engineering,generated_permutation,1.0
Master of Technology in Chemical Engineering,Master of Technology,master of technology chemical engineering,generated_permutation,1.0
Master of Technology (Chemical Engineering),Master of Technology,master of technology chemical engineering,generated_permutation,1.0
"Master of Technology, Chemical Engineering",Master of Technology,master of technology chemical engineering,generated_permutation,1.0
Master of Technology / Chemical Engineering,Master of Technology,master of technology chemical engineering,generated_permutation,1.0
MTech - Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
MTech in Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
MTech (Chemical Engineering),Master of Technology,mtech chemical engineering,generated_permutation,1.0
"MTech, Chemical Engineering",Master of Technology,mtech chemical engineering,generated_permutation,1.0
MTech / Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
M.Tech - Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
M.Tech in Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
M.Tech (Chemical Engineering),Master of Technology,mtech chemical engineering,generated_permutation,1.0
"M.Tech, Chemical Engineering",Master of Technology,mtech chemical engineering,generated_permutation,1.0
M.Tech / Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
M. Tech - Chemical Engineering,Master of Technology,m tech chemical engineering,generated_permutation,1.0
M. Tech in Chemical Engineering,Master of Technology,m tech chemical engineering,generated_permutation,1.0
M. Tech (Chemical Engineering),Master of Technology,m tech chemical engineering,generated_permutation,1.0
"M. Tech, Chemical Engineering",Master of Technology,m tech chemical engineering,generated_permutation,1.0
M. Tech / Chemical Engineering,Master of Technology,m tech chemical engineering,generated_permutation,1.0
MTECH - Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
MTECH in Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
MTECH (Chemical Engineering),Master of Technology,mtech chemical engineering,generated_permutation,1.0
"MTECH, Chemical Engineering",Master of Technology,mtech chemical engineering,generated_permutation,1.0
MTECH / Chemical Engineering,Master of Technology,mtech chemical engineering,generated_permutation,1.0
Master of Engineering - Chemical Engineering,Master of Engineering,master of engineering chemical engineering,generated_permutation,1.0
Master of Engineering in Chemical Engineering,Master of Engineering,master of engineering chemical engineering,generated_permutation,1.0
Master of Engineering (Chemical Engineering),Master of Engineering,master of engineering chemical engineering,generated_permutation,1.0
"Master of Engineering, Chemical Engineering",Master of Engineering,master of engineering chemical engineering,generated_permutation,1.0
Master of Engineering / Chemical Engineering,Master of Engineering,master of engineering chemical engineering,generated_permutation,1.0
MTech - Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
MTech in Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
MTech (Chemical Engineering),Master of Engineering,mtech chemical engineering,generated_permutation,1.0
"MTech, Chemical Engineering",Master of Engineering,mtech chemical engineering,generated_permutation,1.0
MTech / Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
M.Tech - Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
M.Tech in Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
M.Tech (Chemical Engineering),Master of Engineering,mtech chemical engineering,generated_permutation,1.0
"M.Tech, Chemical Engineering",Master of Engineering,mtech chemical engineering,generated_permutation,1.0
M.Tech / Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
M. Tech - Chemical Engineering,Master of Engineering,m tech chemical engineering,generated_permutation,1.0
M. Tech in Chemical Engineering,Master of Engineering,m tech chemical engineering,generated_permutation,1.0
M. Tech (Chemical Engineering),Master of Engineering,m tech chemical engineering,generated_permutation,1.0
"M. Tech, Chemical Engineering",Master of Engineering,m tech chemical engineering,generated_permutation,1.0
M. Tech / Chemical Engineering,Master of Engineering,m tech chemical engineering,generated_permutation,1.0
MTECH - Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
MTECH in Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
MTECH (Chemical Engineering),Master of Engineering,mtech chemical engineering,generated_permutation,1.0
"MTECH, Chemical Engineering",Master of Engineering,mtech chemical engineering,generated_permutation,1.0
MTECH / Chemical Engineering,Master of Engineering,mtech chemical engineering,generated_permutation,1.0
Diploma in Engineering - Chemical Engineering,Diploma in Engineering,diploma engineering chemical engineering,generated_permutation,1.0
Diploma in Engineering in Chemical Engineering,Diploma in Engineering,diploma engineering chemical engineering,generated_permutation,1.0
Diploma in Engineering (Chemical Engineering),Diploma in Engineering,diploma engineering chemical engineering,generated_permutation,1.0
"Diploma in Engineering, Chemical Engineering",Diploma in Engineering,diploma engineering chemical engineering,generated_permutation,1.0
Diploma in Engineering / Chemical Engineering,Diploma in Engineering,diploma engineering chemical engineering,generated_permutation,1.0
3 Year Diploma - Chemical Engineering,Diploma in Engineering,3 year diploma chemical engineering,generated_permutation,1.0
3 Year Diploma in Chemical Engineering,Diploma in Engineering,3 year diploma chemical engineering,generated_permutation,1.0
3 Year Diploma (Chemical Engineering),Diploma in Engineering,3 year diploma chemical engineering,generated_permutation,1.0
"3 Year Diploma, Chemical Engineering",Diploma in Engineering,3 year diploma chemical engineering,generated_permutation,1.0
3 Year Diploma / Chemical Engineering,Diploma in Engineering,3 year diploma chemical engineering,generated_permutation,1.0
Polytechnic - Chemical Engineering,Diploma in Engineering,polytechnic chemical engineering,generated_permutation,1.0
Polytechnic in Chemical Engineering,Diploma in Engineering,polytechnic chemical engineering,generated_permutation,1.0
Polytechnic (Chemical Engineering),Diploma in Engineering,polytechnic chemical engineering,generated_permutation,1.0
"Polytechnic, Chemical Engineering",Diploma in Engineering,polytechnic chemical engineering,generated_permutation,1.0
Polytechnic / Chemical Engineering,Diploma in Engineering,polytechnic chemical engineering,generated_permutation,1.0
Dip. Engg - Chemical Engineering,Diploma in Engineering,dip engg chemical engineering,generated_permutation,1.0
Dip. Engg in Chemical Engineering,Diploma in Engineering,dip engg chemical engineering,generated_permutation,1.0
Dip. Engg (Chemical Engineering),Diploma in Engineering,dip engg chemical engineering,generated_permutation,1.0
"Dip. Engg, Chemical Engineering",Diploma in Engineering,dip engg chemical engineering,generated_permutation,1.0
Dip. Engg / Chemical Engineering,Diploma in Engineering,dip engg chemical engineering,generated_permutation,1.0
Bachelor of Technology - Aerospace Engineering,Bachelor of Technology,bachelor of technology aerospace engineering,generated_permutation,1.0
Bachelor of Technology in Aerospace Engineering,Bachelor of Technology,bachelor of technology aerospace engineering,generated_permutation,1.0
Bachelor of Technology (Aerospace Engineering),Bachelor of Technology,bachelor of technology aerospace engineering,generated_permutation,1.0
"Bachelor of Technology, Aerospace Engineering",Bachelor of Technology,bachelor of technology aerospace engineering,generated_permutation,1.0
Bachelor of Technology / Aerospace Engineering,Bachelor of Technology,bachelor of technology aerospace engineering,generated_permutation,1.0
BTech - Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
BTech in Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
BTech (Aerospace Engineering),Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
"BTech, Aerospace Engineering",Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
BTech / Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech - Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech in Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech (Aerospace Engineering),Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
"B.Tech, Aerospace Engineering",Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech / Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B. Tech - Aerospace Engineering,Bachelor of Technology,b tech aerospace engineering,generated_permutation,1.0
B. Tech in Aerospace Engineering,Bachelor of Technology,b tech aerospace engineering,generated_permutation,1.0
B. Tech (Aerospace Engineering),Bachelor of Technology,b tech aerospace engineering,generated_permutation,1.0
"B. Tech, Aerospace Engineering",Bachelor of Technology,b tech aerospace engineering,generated_permutation,1.0
B. Tech / Aerospace Engineering,Bachelor of Technology,b tech aerospace engineering,generated_permutation,1.0
B.Tech. - Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech. in Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech. (Aerospace Engineering),Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
"B.Tech., Aerospace Engineering",Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
B.Tech. / Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
BTECH - Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
BTECH in Aerospace Engineering,Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
BTECH (Aerospace Engineering),Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
"BTECH, Aerospace Engineering",Bachelor of Technology,btech aerospace engineering,generated_permutation,1.0
